customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
2763.519279,56274,69,32,5,0,1,384.811147
12887.43165,48767,108,18,38,0,2,566.472247
7645.861827,0,106,18,65,0,7,529.881344
2813.692575,43836,73,12,44,0,1,138.130879
8256.2978,62902,69,14,94,0,2,159.383042
7216.100311,0,101,0,68,0,4,363.02968
7388.178085,28812,93,17,7,0,8,425.527834
4738.992022,0,67,23,5,0,3,482.4
8197.197078,0,110,27,87,0,3,528.0
2566.867823,25049,67,14,7,0,1,454.245098
3945.241604,28855,101,12,59,0,1,647.442031
5710.333115,51148,72,9,1,0,7,308.981664
8162.617053,66140,101,11,21,0,3,484.8
2872.051273,57749,74,31,21,0,1,355.2
3041.791561,13789,79,8,49,0,1,379.2
2392.10789,17870,61,30,91,0,1,439.2
5802.065978,97541,72,22,1,0,3,389.185006
3946.372085,0,111,15,47,0,1,799.2
5346.916576,10511,139,33,64,0,1,516.237951
4715.321344,0,65,19,56,0,3,308.15089
5018.885233,54500,63,28,17,0,6,302.4
4932.916345,37260,62,19,42,0,8,15.437681
5744.229745,68987,71,11,40,0,6,204.475147
13891.73567,42305,117,10,62,0,2,561.6
7380.976717,65706,91,19,86,0,8,436.8
3090.034104,0,90,7,79,0,1,648.0
2771.045031,50071,71,3,32,0,1,18.918935
3939.00637,60021,99,12,28,0,1,882.871945
12231.87968,43244,103,15,16,0,2,494.4
2443.665166,92834,61,15,56,0,1,292.8
5514.344018,23218,71,7,10,0,4,447.79344
3343.875326,0,92,11,77,0,1,529.624084
2294.478927,0,62,11,56,0,1,313.023175
4854.745666,29834,64,19,44,0,3,307.2
4293.997319,16701,113,20,26,0,1,831.625979
7164.395543,46623,91,1,53,0,3,436.8
7619.5158,64749,64,24,59,0,2,302.56519
3958.002823,0,101,29,12,0,1,484.8
4059.567414,11621,108,4,98,0,1,518.4
8110.333139,11489,105,4,50,0,6,504.0
3339.764873,0,94,20,53,0,1,863.327324
6613.973653,0,63,21,28,0,2,676.391482
2930.693543,33663,73,29,71,0,1,350.4
8672.194272,22547,112,7,60,0,3,537.6
11638.66926,61486,97,5,65,0,2,465.258644
6846.150323,0,95,13,20,0,5,456.0
11727.77648,29879,102,17,0,0,2,500.254235
2614.474305,65186,65,29,27,0,1,5.434505
8591.604933,38984,73,27,38,0,2,350.4
5592.161392,71811,71,17,48,0,6,29.03416
8009.472833,20961,67,20,33,0,2,321.6
8025.229358,0,77,20,26,0,2,25.807685
